city,scenario,severity,run,avg_ratio,median_ratio,pct_disconnected,n_removed_edges,n_pairs
"Dallas, Texas, USA",Random Failure,0.7,4,5.0,5.0,100.0,65204,30
"Phoenix, Arizona, USA",Bridge Collapse,0.3,0,1.1085830723716492,1.1078979633788935,0.0,469,30
"Phoenix, Arizona, USA",Bridge Collapse,0.3,1,1.5838720825868036,1.0422311260443309,13.333333333333334,469,30
"Phoenix, Arizona, USA",Bridge Collapse,0.3,2,1.2174361782330023,1.078076215066227,3.3333333333333335,469,30
"Phoenix, Arizona, USA",Bridge Collapse,0.3,3,1.068050170210364,1.058171907509395,0.0,469,30
"Phoenix, Arizona, USA",Bridge Collapse,0.3,4,1.2082163944155004,1.0754030354416333,3.3333333333333335,469,30
"Phoenix, Arizona, USA",Bridge Collapse,0.5,0,1.8226712008561037,1.2299809251567453,16.666666666666668,783,30
"Phoenix, Arizona, USA",Bridge Collapse,0.5,1,1.6572722526659673,1.1396224814064775,13.333333333333334,783,30
"Phoenix, Arizona, USA",Bridge Collapse,0.5,2,1.5359058381283859,1.170564113928595,10.0,783,30
"Phoenix, Arizona, USA",Bridge Collapse,0.5,3,1.6342562841916086,1.1236376477452654,13.333333333333334,783,30
"Phoenix, Arizona, USA",Bridge Collapse,0.5,4,1.404233351649295,1.1393678842224717,6.666666666666667,783,30
"Phoenix, Arizona, USA",Bridge Collapse,0.7,0,2.0452692004664192,1.3956124139528376,20.0,1096,30
"Phoenix, Arizona, USA",Bridge Collapse,0.7,1,1.7897420169528517,1.266322725963433,13.333333333333334,1096,30
"Phoenix, Arizona, USA",Bridge Collapse,0.7,2,2.1766318592831286,1.3464189048253914,23.333333333333332,1096,30
"Phoenix, Arizona, USA",Bridge Collapse,0.7,3,2.496223349485077,1.2303175196381715,33.333333333333336,1096,30
"Phoenix, Arizona, USA",Bridge Collapse,0.7,4,1.694291235409195,1.1962976382767798,13.333333333333334,1096,30
"Phoenix, Arizona, USA",Tunnel Closure,0.3,0,1.000557532802826,1.0,0.0,9,30
"Phoenix, Arizona, USA",Tunnel Closure,0.3,1,1.0021097953139646,1.0,0.0,9,30
"Phoenix, Arizona, USA",Tunnel Closure,0.3,2,1.0118157959226606,1.0,0.0,9,30
"Phoenix, Arizona, USA",Tunnel Closure,0.3,3,1.0011541057068927,1.0,0.0,9,30
"Phoenix, Arizona, USA",Tunnel Closure,0.3,4,1.0022723646999672,1.0,0.0,9,30
"Phoenix, Arizona, USA",Tunnel Closure,0.5,0,1.0023037440380653,1.0,0.0,15,30
"Phoenix, Arizona, USA",Tunnel Closure,0.5,1,1.0021097953139646,1.0,0.0,15,30
"Phoenix, Arizona, USA",Tunnel Closure,0.5,2,1.0118157959226606,1.0,0.0,15,30
"Phoenix, Arizona, USA",Tunnel Closure,0.5,3,1.0062553587245089,1.0,0.0,15,30
"Phoenix, Arizona, USA",Tunnel Closure,0.5,4,1.0047535114894555,1.0,0.0,15,30
"Phoenix, Arizona, USA",Tunnel Closure,0.7,0,1.0023037440380653,1.0,0.0,21,30
"Phoenix, Arizona, USA",Tunnel Closure,0.7,1,1.0021097953139646,1.0,0.0,21,30
"Phoenix, Arizona, USA",Tunnel Closure,0.7,2,1.0118157959226606,1.0,0.0,21,30
"Phoenix, Arizona, USA",Tunnel Closure,0.7,3,1.0062553587245089,1.0,0.0,21,30
"Phoenix, Arizona, USA",Tunnel Closure,0.7,4,1.0047535114894555,1.0,0.0,21,30
"Phoenix, Arizona, USA",Highway Flood,0.3,0,1.2564534627954274,1.2066518226268312,0.0,1739,30
